Numero Nodo,Estación,Línea,X,Y
0,Perrache,A,4.825775197,45.74851766
1,Ampere Victor Hugo,A,4.829149997,45.75289248
2,Bellecour,A - D,4.833684597,45.75782917
3,Cordeliers,A,4.835735368,45.7632335
4,Hotel de Ville Louis Pradel,A - C,4.836309997,45.76739249
5,Foch,A,4.844211868,45.76865399
6,Massena,A,4.853069268,45.769345
7,Charpennes Charles Hernu,A - B,4.862980339,45.77054769
8,Republique Villeurbanne,A,4.873648539,45.77058752
9,Gratte-Ciel,A,4.882467639,45.76903302
10,Flachet,A,4.889926668,45.7676514
11,Cusset,A,4.900290325,45.76563329
12,Laurent Bonnebay Astroballe,A,4.908914568,45.76479422
13,Vaulx-en-Velin La Sole,A,4.922156997,45.76101229
14,Brotteaux,B,4.859313333,45.76681576
15,Gare Part-Dieu V.Merle,B,4.857809268,45.76144249
16,Place Guichard B,B,4.847686468,45.7593589
17,Saxe-Gambetta,B - D,4.846960268,45.75381751
18,Jean Macé,B,4.842430197,45.74583378
19,Place Jean Jaures,B,4.837484295,45.7379987
20,Debourg,B,4.833637359,45.73132821
21,Stade de Gerland,B,4.830819297,45.72701199
22,Oullins Gare,B,4.814711797,45.71678078
23,Cuire,C,4.833340768,45.78588629
24,Henon,C,4.827372701,45.77915397
25,Croix-Rousse,C,4.831896317,45.77429174
26,Croix-Paquet,C,4.836235532,45.77093731
27,Gare de Valse,D,4.805047968,45.78041849
28,Valmy,D,4.805617297,45.77458249
29,Gorge de Loup,D,4.805089032,45.76604425
30,Vieux Lyeon Cathedrale St.Jean,D,4.825767153,45.75995437
31,Guillotiere,D,4.842268291,45.7553735
32,Garibaldi,D,4.85399997,45.75156291
33,Sans-Souci,D,4.864380275,45.74797209
34,Monplaisir-Lumiere,D,4.871299075,45.74553933
35,Grange Blanche,D,4.878850924,45.74293682
36,Laennec,D,4.886397639,45.73830667
37,Mermoz Pinel,D,4.887339268,45.73081248
38,Parilly,D,4.88755821,45.71951805
39,Gare de Venissieux,D,4.887959968,45.70521469
